cost_fn;methods;tensor_network;num_qubits;num_run;upper_bound_cost;operations;operations_with_bruteforce;max_tensor_size;avg_tensor_sparsity;time
custom_flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;95.94649648666382
custom_flops;['kahypar'];Hamming Tanner;15;0;9082246370048688;2587460.0;2590132.0;1048576;0.05765;300.53510761260986
flops;['kahypar'];Hamming Tanner;7;0;1635292;1040.0;1260.0;256;0.1084;87.22303509712219
flops;['kahypar'];Hamming Tanner;15;0;289637824186436208;5045376.0;5048048.0;4194304;0.04646;352.87319827079773
custom_flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;29.428494453430176
custom_flops;['kahypar'];Rotated Surface;25;0;219904;624.0;880.0;32;0.06641;296.8635654449463
custom_flops;['kahypar'];Rotated Surface;49;0;28025920;4512.0;5088.0;256;0.03705;304.3278384208679
flops;['kahypar'];Rotated Surface;9;0;5184;76.0;140.0;16;0.16992;25.57382082939148
flops;['kahypar'];Rotated Surface;25;0;201984;1296.0;1552.0;64;0.08398;274.5802550315857
flops;['kahypar'];Rotated Surface;49;0;28025920;4512.0;5088.0;256;0.03705;364.4339277744293
custom_flops;['greedy'];BB Tanner;18;0;1213722049951722920741120;396084224.0;396086528.0;268435456;0.02905;84.21798729896545
custom_flops;['greedy'];BB Tanner;30;0;39730138283413350358423965440;3111548186624.0;3111548190464.0;549755813888;0.01742;196.08836436271667
flops;['greedy'];BB Tanner;18;0;22310887622912;5595056192.0;5595058496.0;1073741824;0.02952;2.8849830627441406
flops;['greedy'];BB Tanner;30;0;19515756547411712;5896332855360.0;5896332859200.0;549755813888;0.01763;8.352707147598267
custom_flops;['kahypar'];Rotated Surface MSP;9;0;392177;1412.0;2293.0;128;0.14981;244.027734041214
custom_flops;['kahypar'];Rotated Surface MSP;25;0;595069761376726377;280960398.0;280972039.0;16777216;0.09159;14073.787031412125
flops;['kahypar'];Rotated Surface MSP;9;0;620817;1432.0;2313.0;128;0.13207;300.33583545684814
flops;['kahypar'];Rotated Surface MSP;25;0;198548093194297;1080325854.0;1080337495.0;134217728;0.09275;3655.7230718135834
custom_flops;['kahypar'];BB Tanner;18;0;4722655557680395454720;152655872.0;152658176.0;16777216;0.02908;423.98295974731445
custom_flops;['kahypar'];BB Tanner;30;0;1346878852467458621236688719616;322510614592.0;322510618432.0;68719476736;0.02616;968.9239327907562
flops;['kahypar'];BB Tanner;18;0;18065413402790144;8275612736.0;8275615040.0;1073741824;0.04357;1085.8057250976562
