distance;name;num_run;custom_cost
4;Rotated Surface;44;629
4;Concatenated;44;86497
4;Measurement State Prep;44;1818629
4;Tanner Network;44;801857
4;Dual Surface;45;2385
4;Rotated Surface;45;571
4;Concatenated;45;69857
4;Measurement State Prep;45;1315509
4;Tanner Network;45;741393
4;Dual Surface;46;1897
4;Rotated Surface;46;479
4;Concatenated;46;52129
4;Measurement State Prep;46;1480785
4;Tanner Network;46;839921
4;Dual Surface;47;1961
4;Rotated Surface;47;521
4;Concatenated;47;66505
4;Measurement State Prep;47;1775545
4;Tanner Network;47;700657
4;Dual Surface;48;1897
4;Rotated Surface;48;547
4;Concatenated;48;81121
4;Measurement State Prep;48;1140437
4;Tanner Network;48;731841
4;Dual Surface;49;1601
4;Rotated Surface;49;629
4;Concatenated;49;40497
4;Measurement State Prep;49;1029567
4;Tanner Network;49;900221
4;Dual Surface;50;2265
4;Rotated Surface;50;489
4;Concatenated;50;87969
4;Measurement State Prep;50;1264729
4;Tanner Network;50;739569
4;Dual Surface;51;1801
4;Rotated Surface;51;523
4;Concatenated;51;85625
4;Measurement State Prep;51;1493547
4;Tanner Network;51;749233
4;Dual Surface;52;2185
4;Rotated Surface;52;497
4;Concatenated;52;82785
4;Measurement State Prep;52;1593965
4;Tanner Network;52;770285
4;Dual Surface;53;1713
4;Rotated Surface;53;577
4;Concatenated;53;74145
4;Measurement State Prep;53;1627703
4;Tanner Network;53;741581
4;Dual Surface;54;2009
4;Rotated Surface;54;515
4;Concatenated;54;97177
4;Measurement State Prep;54;1778695
4;Tanner Network;54;741581
4;Dual Surface;55;2301
4;Rotated Surface;55;547
4;Concatenated;55;79329
4;Measurement State Prep;55;1850231
4;Tanner Network;55;727949
4;Dual Surface;56;1761
4;Rotated Surface;56;541
4;Concatenated;56;70497
4;Measurement State Prep;56;1792905
4;Tanner Network;56;771057
4;Dual Surface;57;1969
4;Rotated Surface;57;523
4;Concatenated;57;71385
4;Measurement State Prep;57;1426945
4;Tanner Network;57;726509
4;Dual Surface;58;1777
4;Rotated Surface;58;507
4;Concatenated;58;77745
4;Measurement State Prep;58;1069557
4;Tanner Network;58;677293
4;Dual Surface;59;1817
4;Rotated Surface;59;565
4;Concatenated;59;49185
4;Measurement State Prep;59;1178949
4;Tanner Network;59;849805
4;Dual Surface;60;2109
4;Rotated Surface;60;577
4;Concatenated;60;47713
4;Measurement State Prep;60;1529823
4;Tanner Network;60;690129
4;Dual Surface;61;2249
4;Rotated Surface;61;805
4;Concatenated;61;64505
4;Measurement State Prep;61;1491457
4;Tanner Network;61;708561
4;Dual Surface;62;1825
4;Rotated Surface;62;567
4;Concatenated;62;76673
4;Measurement State Prep;62;1493303
4;Tanner Network;62;721837
4;Dual Surface;63;2173
4;Rotated Surface;63;543
4;Concatenated;63;65497
4;Measurement State Prep;63;840755
4;Tanner Network;63;681649
4;Dual Surface;64;2041
4;Rotated Surface;64;551
4;Concatenated;64;85153
4;Measurement State Prep;64;1557681
4;Tanner Network;64;719025
4;Dual Surface;65;1705
4;Rotated Surface;65;529
4;Concatenated;65;57057
4;Measurement State Prep;65;1761671
4;Tanner Network;65;726509
4;Dual Surface;66;1849
4;Rotated Surface;66;475
4;Concatenated;66;83297
4;Measurement State Prep;66;2382457
